上报收费站ID,上报收费站名称,上报收费归属省份,上报收费站经度,上报收费站纬度,电子地图收费站ID,电子地图ID,电子地图收费站名称,电子地图收费站归属省份,电子地图收费经度,电子地图收费站纬度,互联网地图1收费站ID,互联网地图1收费站名称,互联网地图1收费站归属省份,互联网地图1收费站经度,互联网地图1收费站纬度,确认收费站ID,确认收费站名称,确认收费站归属省份,确认收费站类型,确认收费站经度,确认收费站纬度,确认数据经纬度来源（0：互联网1；    1：上报收费站；2：电子地图；3:缺失）
G0016210010030,惠州,liaoning,119.653134,41.988034,G0016210010030,2110007486,惠州收费站,liaoning,119.65937,41.99015,G0016210010030,惠州收费站,LIAO_NING,119.659283,41.990113,G0016210010030,惠州收费站,liaoning,RAMP_PLAZA,119.659283,41.990113,0
G0025210010020,康平北,liaoning,123.42936,42.969867,G0025210010020,2110133595,康平北收费站,liaoning,123.43563,42.97223,G0025210010020,康平北收费站,LIAO_NING,123.435806,42.972343,G0025210010020,康平北收费站,liaoning,RAMP_PLAZA,123.435806,42.972343,0
G0025210020030,包家屯,liaoning,122.885806,42.497623,G0025210020030,2110007650,包家屯收费站,liaoning,122.89112,42.49961,G0025210020030,包家屯收费站,LIAO_NING,122.891036,42.499746,G0025210020030,包家屯收费站,liaoning,RAMP_PLAZA,122.891036,42.499746,0
G0025210020130,杨树湾,liaoning,120.083074,41.466435,G0025210020130,2110007621,杨树湾收费站,liaoning,120.08881,41.46923,G0025210020130,杨树湾收费站,LIAO_NING,120.088883,41.469309,G0025210020130,杨树湾收费站,liaoning,RAMP_PLAZA,120.088883,41.469309,0
G0091210020010,满都户,liaoning,122.609783,41.600433,G0091210020010,2110007742,满都户收费站,liaoning,122.61474,41.6025,G0091210020010,满都户收费站,LIAO_NING,122.614918,41.602527,G0091210020010,满都户收费站,liaoning,RAMP_PLAZA,122.614918,41.602527,0
G0091210030030,三面船,liaoning,123.316192,42.207907,G0091210030030,2110043226,三面船收费站,liaoning,123.32223,42.21023,G0091210030030,三面船收费站,LIAO_NING,123.322123,42.210131,G0091210030030,三面船收费站,liaoning,RAMP_PLAZA,123.322123,42.210131,0
S0023210010010,二十里堡,liaoning,121.765212,39.200587,S0023210010010,2110007437,二十里堡收费站,liaoning,121.7703,39.20158,S0023210010010,二十里堡收费站,LIAO_NING,121.770304,39.201582,S0023210010010,二十里堡收费站,liaoning,RAMP_PLAZA,121.770304,39.201582,0
S0002510010010,巴南恩阳,sichuan,,,S0002510010010,,,,,,S0002510010010,恩阳收费站,SI_CHUAN,106.646765,31.812744,S0002510010010,恩阳收费站,sichuan,RAMP_PLAZA,106.646765,31.812744,0
G0006640010160,长山头,ningxia,,,G0006640010160,2110003193,长山头收费站,ningxia,105.62903,37.34056,G0006640010160,长山头收费站,NING_XIA,105.629211,37.340545,G0006640010160,长山头收费站,ningxia,MAIN_LINE_PLAZA,105.629211,37.340545,0
G2012640010060,宣和,ningxia,,,G2012640010060,2110003129,宣和收费站,ningxia,105.4452,37.4593,G2012640010060,宣和收费站,NING_XIA,105.445186,37.459328,G2012640010060,宣和收费站,ningxia,MAIN_LINE_PLAZA,105.445186,37.459328,0
G2012640010080,孟家湾,ningxia,,,G2012640010080,2110003233,孟家湾收费站,ningxia,104.94158,37.44278,G2012640010080,孟家湾收费站,NING_XIA,104.941514,37.44291,G2012640010080,孟家湾收费站,ningxia,MAIN_LINE_PLAZA,104.941514,37.44291,0
G0004130020020,藁城兴华路,hebei,114.770702,38.100311,G0004130020020,,,,,,G0004130020020,藁城兴华路收费站,HE_BEI,114.776294,38.011802,G0004130020020,藁城兴华路收费站,hebei,RAMP_PLAZA,114.776294,38.011802,0
G0095130080040,沽源,hebei,115.7336,41.561517,G0095130080040,,,,,,G0095130080040,沽源收费站,HE_BEI,115.739522,41.563571,G0095130080040,沽源收费站,hebei,RAMP_PLAZA,115.739522,41.563571,0
S0003130010020,信安,hebei,116.588698,39.127995,S0003130010020,2110019404,信安收费站,hebei,116.5817,39.12227,S0003130010020,信安收费站,HE_BEI,116.581574,39.122091,S0003130010020,信安收费站,hebei,RAMP_PLAZA,116.581574,39.122091,0
S0050130010100,围场北主线,hebei,117.73832,41.976911,S0050130010100,,,,,,S0050130010100,围场北收费站,HE_BEI,117.744725,41.9793,S0050130010100,围场北收费站,hebei,MAIN_LINE_PLAZA,117.744725,41.9793,0
S0081360420010,万宜路万载南,jiangxi,,,S0081360420010,,,,,,S0081360420010,万载南收费站,JIANG_XI,114.420799,28.051159,S0081360420010,万载南收费站,jiangxi,RAMP_PLAZA,114.420799,28.051159,0
S0080360460020,寻全路寻乌北,jiangxi,,,S0080360460020,,,,,,S0080360460020,寻乌北收费站,JIANG_XI,115.730951,25.094351,S0080360460020,寻乌北收费站,jiangxi,RAMP_PLAZA,115.730951,25.094351,0
S0080360460030,寻全路安远,jiangxi,,,S0080360460030,,,,,,S0080360460030,安远收费站,JIANG_XI,115.339985,25.159165,S0080360460030,安远收费站,jiangxi,RAMP_PLAZA,115.339985,25.159165,0
G0045360020010,泰赣路韶口,jiangxi,,,G0045360020010,,,,,,G0045360020010,韶口收费站,JIANG_XI,114.687523,26.60122,G0045360020010,韶口收费站,jiangxi,RAMP_PLAZA,114.687523,26.60122,0
G6001360050010,昌西环路梅岭,jiangxi,,,G6001360050010,,,,,,G6001360050010,梅岭收费站,JIANG_XI,115.821054,28.762089,G6001360050010,梅岭收费站,jiangxi,MAIN_LINE_PLAZA,115.821054,28.762089,0
G0060360060050,昌樟路梅林,jiangxi,,,G0060360060050,,,,,,G0060360060050,梅林收费站,JIANG_XI,,,G0060360060050,梅林收费站,jiangxi,RAMP_PLAZA,,,3
G0060360060090,昌樟路丰城,jiangxi,,,G0060360060090,,,,,,G0060360060090,丰城收费站,JIANG_XI,115.655772,28.278582,G0060360060090,丰城收费站,jiangxi,RAMP_PLAZA,115.655772,28.278582,0
G0035360080010,鹰瑞路北段龙虎山,jiangxi,,,G0035360080010,,,,,,G0035360080010,龙虎山收费站,JIANG_XI,116.916,28.136595,G0035360080010,龙虎山收费站,jiangxi,RAMP_PLAZA,116.916,28.136595,0
G0070360130050,温沙路上塘,jiangxi,,,G0070360130050,,,,,,G0070360130050,上塘收费站,JIANG_XI,116.655346,27.391098,G0070360130050,上塘收费站,jiangxi,RAMP_PLAZA,116.655346,27.391098,0
G0004440030430,火村北,guangdong,113.522439,23.146898,G0004440030430,,,,,,G0004440030430,火村北收费站,GUANG_DONG,113.524501,23.143815,G0004440030430,火村北收费站,guangdong,RAMP_PLAZA,113.524501,23.143815,0
G0004440030180,太平北,guangdong,113.697511,22.829335,G0004440030180,,,,,,G0004440030180,太平北收费站,GUANG_DONG,113.42738,23.428381,G0004440030180,太平北收费站,guangdong,RAMP_PLAZA,113.42738,23.428381,0
G0035440020040,蓬陵,guangdong,114.567211,23.150813,G0035440020040,2110038024,蓬陵收费站,guangdong,114.57186,23.14768,G0035440020040,蓬陵收费站,GUANG_DONG,114.571941,23.147743,G0035440020040,蓬陵收费站,guangdong,RAMP_PLAZA,114.571941,23.147743,0
G0015440080030,西樵,guangdong,112.935755,22.934251,G0015440080030,2110039385,西樵收费站,guangdong,112.94069,22.93125,G0015440080030,西樵收费站,GUANG_DONG,112.940811,22.931355,G0015440080030,西樵收费站,guangdong,RAMP_PLAZA,112.940811,22.931355,0
G0022620020020,庆阳南,gansu,107.628166,35.679765,G0022620020020,2110025968,庆阳南收费站,gansu,107.63353,35.6798,G0022620020020,庆阳南收费站,GAN_SU,107.63341,35.679431,G0022620020020,庆阳南收费站,gansu,RAMP_PLAZA,107.63341,35.679431,0
S0049410090020,桐柏东,henan,,,S0049410090020,2110022740,桐柏东收费站,henan,113.4759,32.4007,S0049410090020,桐柏东收费站,HE_NAN,113.47593,32.400701,S0049410090020,桐柏东收费站,henan,RAMP_PLAZA,113.47593,32.400701,0
G0002370110010,济阳西,shandong,,,G0002370110010,2110069482,济阳西收费站,shandong,117.05537,36.9736,G0002370110010,济阳西收费站,SHAN_DONG,117.05542,36.973591,G0002370110010,济阳西收费站,shandong,RAMP_PLAZA,117.05542,36.973591,0
G003W370060020,鄄城,shandong,,,G003W370060020,,,,,,G003W370060020,鄄城收费站,SHAN_DONG,115.596444,35.55126,G003W370060020,鄄城收费站,shandong,RAMP_PLAZA,115.596444,35.55126,0
G003W370060040,菏泽北,shandong,,,G003W370060040,,,,,,G003W370060040,菏泽北收费站,SHAN_DONG,115.637091,35.377059,G003W370060040,菏泽北收费站,shandong,RAMP_PLAZA,115.637091,35.377059,0
G003W370030020,临清东,shandong,,,G003W370030020,,,,,,G003W370030020,临清东收费站,SHAN_DONG,115.89498,36.799628,G003W370030020,临清东收费站,shandong,RAMP_PLAZA,115.89498,36.799628,0
G0003130010020,廊坊空港,hebei,116.515049,39.50758,G0003130010020,,,,,,G0003130010020,廊坊空港收费站,HE_BEI,116.521615,39.50801,G0003130010020,廊坊空港收费站,hebei,RAMP_PLAZA,116.521615,39.50801,0
G0005130050020,井陉矿区,hebei,114.03185,38.110347,G0005130050020,,,,,,G0005130050020,井陉矿区收费站,HE_BEI,114.038516,38.111119,G0005130050020,井陉矿区收费站,hebei,RAMP_PLAZA,114.038516,38.111119,0
G0045130010030,滦平,hebei,117.376115,40.826422,G0045130010030,2110019704,滦平收费站,hebei,117.38284,40.82855,G0045130010030,滦平收费站,HE_BEI,117.38274,40.828578,G0045130010030,滦平收费站,hebei,RAMP_PLAZA,117.38274,40.828578,0
G0002130030050,千童,hebei,117.097778,37.864167,G0002130030050,,,,,,G0002130030050,千童收费站,HE_BEI,117.103453,37.86463,G0002130030050,千童收费站,hebei,RAMP_PLAZA,117.103453,37.86463,0
G0045130030010,冀京界固安主线,hebei,116.27959,39.478085,G0045130030010,,,,,,G0045130030010,固安收费站,HE_BEI,116.282922,39.45437,G0045130030010,固安收费站,hebei,PROVINCE_STATION_INDEPENDENT,116.282922,39.45437,0
S0105130010030,唐山南,hebei,118.271049,39.596569,S0105130010030,2110019373,唐山南收费站,hebei,118.19346,39.54808,S0105130010030,唐山南收费站,HE_BEI,118.193372,39.548038,S0105130010030,唐山南收费站,hebei,RAMP_PLAZA,118.193372,39.548038,0
S0032130010070,冀晋主线,hebei,113.95546,40.034798,S0032130010070,,,,,,S0032130010070,冀晋收费站,HE_BEI,,,S0032130010070,冀晋收费站,hebei,PROVINCE_STATION_COMMON,113.95546,40.034798,1
G0004130030020,栾城,hebei,114.741862,38.039591,G0004130030020,2110019187,栾城收费站,hebei,114.67597,37.84826,G0004130030020,栾城收费站,HE_BEI,114.589757,37.952771,G0004130030020,栾城收费站,hebei,RAMP_PLAZA,114.589757,37.952771,0
G0095130040050,固安东,hebei,116.311218,39.384212,G0095130040050,,,,,,G0095130040050,固安东收费站,HE_BEI,116.411122,39.423001,G0095130040050,固安东收费站,hebei,RAMP_PLAZA,116.411122,39.423001,0
S0071130010040,东回舍,hebei,114.097388,38.23334,S0071130010040,2110019275,东回舍收费站,hebei,114.10388,38.2342,S0071130010040,东回舍收费站,HE_BEI,114.103796,38.233998,S0071130010040,东回舍收费站,hebei,RAMP_PLAZA,114.103796,38.233998,0
S0010130020030,张家口北匝道,hebei,114.760279,40.871401,S0010130020030,,,,,,S0010130020030,张家口北收费站,HE_BEI,114.767218,40.872723,S0010130020030,张家口北收费站,hebei,RAMP_PLAZA,114.767218,40.872723,0
G094W440012020,南屏主线,guangdong,113.458558,22.219445,G094W440012020,,,,,,G094W440012020,南屏主线收费站,GUANG_DONG,113.464929,22.214583,G094W440012020,南屏主线收费站,guangdong,MAIN_LINE_PLAZA,113.464929,22.214583,0
G1501440020050,小塘,guangdong,112.921551,23.163081,G1501440020050,2110038559,小塘收费站,guangdong,112.96784,25.38939,G1501440020050,小塘收费站,GUANG_DONG,,,G1501440020050,小塘收费站,guangdong,RAMP_PLAZA,112.921551,23.163081,1
G0002320010120,高邮界首,jiangsu,119.457587,33.034856,G0002320010120,2110028377,高邮界首收费站,jiangsu,119.45098,33.02917,G0002320010120,高邮界首收费站,JIANG_SU,119.451007,33.029143,G0002320010120,高邮界首收费站,jiangsu,RAMP_PLAZA,119.451007,33.029143,0
G0015320010040,赣榆,jiangsu,119.101227,34.828915,G0015320010040,2110028801,赣榆收费站,jiangsu,119.09467,34.82324,G0015320010040,赣榆收费站,JIANG_SU,119.094805,34.823313,G0015320010040,赣榆收费站,jiangsu,RAMP_PLAZA,119.094805,34.823313,0
G0025320010040,宋庄,jiangsu,119.176399,34.760072,G0025320010040,2110028663,宋庄收费站,jiangsu,119.17002,34.75371,G0025320010040,宋庄收费站,JIANG_SU,119.170087,34.753958,G0025320010040,宋庄收费站,jiangsu,RAMP_PLAZA,119.170087,34.753958,0
G0025320010050,大浦,jiangsu,119.204208,34.686049,G0025320010050,2110028691,大浦收费站,jiangsu,119.19755,34.68033,G0025320010050,大浦收费站,JIANG_SU,119.197573,34.680183,G0025320010050,大浦收费站,jiangsu,RAMP_PLAZA,119.197573,34.680183,0
G0204320020010,204国道响水,jiangsu,119.736111,34.0675,G0204320020010,,,,,,G0204320020010,国道响水收费站,JIANG_SU,119.74212,34.065957,G0204320020010,国道响水收费站,jiangsu,MAIN_LINE_PLAZA,119.74212,34.065957,0
G15W2320020030,甪直,jiangsu,120.863945,31.286607,G15W2320020030,2110027999,甪直收费站,jiangsu,120.8575,31.28027,G15W2320020030,甪直收费站,JIANG_SU,120.857371,31.280218,G15W2320020030,甪直收费站,jiangsu,RAMP_PLAZA,120.857371,31.280218,0
S0028320010040,姜堰北,jiangsu,120.111079,32.566025,S0028320010040,2110028784,姜堰北收费站,jiangsu,120.10463,32.55977,S0028320010040,姜堰北收费站,JIANG_SU,120.104647,32.559778,S0028320010040,姜堰北收费站,jiangsu,RAMP_PLAZA,120.104647,32.559778,0
S0049320020050,双沟,jiangsu,118.180059,33.426057,S0049320020050,2110028375,双沟收费站,jiangsu,118.20512,33.23614,S0049320020050,双沟收费站,JIANG_SU,118.205229,33.236191,S0049320020050,双沟收费站,jiangsu,RAMP_PLAZA,118.205229,33.236191,0
S0082320010010,张家港疏港主线,jiangsu,120.500084,31.954546,S0082320010010,,,,,,S0082320010010,张家港疏港主线收费站,JIANG_SU,,,S0082320010010,张家港疏港主线收费站,jiangsu,MAIN_LINE_PLAZA,120.500084,31.954546,1
S0323320020010,323省道竹园,jiangsu,118.530195,34.368985,S0323320020010,,,,,,S0323320020010,省道竹园收费站,JIANG_SU,,,S0323320020010,省道竹园收费站,jiangsu,MAIN_LINE_PLAZA,118.530195,34.368985,1
S0055520010010,茅台,guizhou,,,S0055520010010,2110054185,茅台收费站,guizhou,106.38881,27.78595,S0055520010010,茅台收费站,GUI_ZHOU,106.389709,27.786093,S0055520010010,茅台收费站,guizhou,RAMP_PLAZA,106.389709,27.786093,0
G7611520020020,落别,guizhou,,,G7611520020020,2110056981,落别收费站,guizhou,105.58564,26.12964,G7611520020020,落别收费站,GUI_ZHOU,105.585594,26.129607,G7611520020020,落别收费站,guizhou,RAMP_PLAZA,105.585594,26.129607,0
G0060520030030,盘江,guizhou,,,G0060520030030,2110014254,盘江收费站,guizhou,107.16508,26.49939,G0060520030030,盘江收费站,GUI_ZHOU,107.165071,26.499447,G0060520030030,盘江收费站,guizhou,RAMP_PLAZA,107.165071,26.499447,0
S0063520010030,雷山主线,guizhou,,,S0063520010030,,,,,,S0063520010030,雷山收费站,GUI_ZHOU,108.112645,26.386924,S0063520010030,雷山收费站,guizhou,RAMP_PLAZA,108.112645,26.386924,0
G0070360010010,昌九路泊水湖,jiangxi,,,G0070360010010,,,,,,G0070360010010,G56杭瑞高速入口,JIANG_XI,116.230398,29.722771,G0070360010010,G56杭瑞高速入口,jiangxi,MAIN_LINE_PLAZA,116.230398,29.722771,0
G0035360080050,鹰瑞路北段南丰,jiangxi,,,G0035360080050,,,,,,G0035360080050,南丰收费站,JIANG_XI,116.548279,27.185882,G0035360080050,南丰收费站,jiangxi,RAMP_PLAZA,116.548279,27.185882,0
S0020360100010,彭湖路湖口东,jiangxi,,,S0020360100010,,,,,,S0020360100010,湖口东收费站,JIANG_XI,116.386927,29.74737,S0020360100010,湖口东收费站,jiangxi,RAMP_PLAZA,116.386927,29.74737,0
S0036360110030,昌泰路吉水,jiangxi,,,S0036360110030,,,,,,S0036360110030,吉水收费站,JIANG_XI,115.020197,27.298485,S0036360110030,吉水收费站,jiangxi,RAMP_PLAZA,115.020197,27.298485,0
G0045360140020,武吉路武宁,jiangxi,,,G0045360140020,,,,,,G0045360140020,武宁收费站,JIANG_XI,115.10593,29.301614,G0045360140020,武宁收费站,jiangxi,RAMP_PLAZA,115.10593,29.301614,0
G0611630040030,同仁北匝道,qinghai,,,G0611630040030,,,,,,G0611630040030,同仁北收费站,QING_HAI,102.071779,35.679542,G0611630040030,同仁北收费站,qinghai,RAMP_PLAZA,102.071779,35.679542,0
G0006620020040,水阜,gansu,103.855346,36.290941,G0006620020040,2110052600,水阜收费站,gansu,103.85766,36.29122,G0006620020040,水阜收费站,GAN_SU,103.858052,36.291176,G0006620020040,水阜收费站,gansu,RAMP_PLAZA,103.858052,36.291176,0
G0007150030060,苏宏图,neimenggu,,,G0007150030060,,,,,,G0007150030060,苏宏图收费站,NEI_MENG_GU,104.129875,41.280288,G0007150030060,苏宏图收费站,neimenggu,RAMP_PLAZA,104.129875,41.280288,0
G0055150020050,土牧尔台,neimenggu,,,G0055150020050,2110042401,土牧尔台收费站,neimenggu,113.07391,41.87223,G0055150020050,土牧尔台收费站,NEI_MENG_GU,113.073961,41.872396,G0055150020050,土牧尔台收费站,neimenggu,RAMP_PLAZA,113.073961,41.872396,0
S0024150010050,土贵乌拉东,neimenggu,,,S0024150010050,2110056778,土贵乌拉东收费站,neimenggu,113.35966,40.76537,S0024150010050,土贵乌拉东收费站,NEI_MENG_GU,113.359603,40.76568,S0024150010050,土贵乌拉东收费站,neimenggu,RAMP_PLAZA,113.359603,40.76568,0
S0024150010090,和林东,neimenggu,,,S0024150010090,2110056786,和林东收费站,neimenggu,112.1846,40.30622,S0024150010090,和林东收费站,NEI_MENG_GU,112.184605,40.306261,S0024150010090,和林东收费站,neimenggu,RAMP_PLAZA,112.184605,40.306261,0
G0080450030020,马路,guangxi,110.906053,22.910071,G0080450030020,2110017314,马路收费站,guangxi,110.91074,22.90744,G0080450030020,马路收费站,GUANG_XI,110.91071,22.907481,G0080450030020,马路收费站,guangxi,RAMP_PLAZA,110.91071,22.907481,0
G2518450010010,归义,guangxi,111.093107,22.895883,G2518450010010,2110017292,归义收费站,guangxi,111.09821,22.8936,G2518450010010,归义收费站,GUANG_XI,111.098176,22.893612,G2518450010010,归义收费站,guangxi,RAMP_PLAZA,111.098176,22.893612,0
S0060450030050,那桑,guangxi,105.742651,23.420767,S0060450030050,,,,,,S0060450030050,那桑收费站,GUANG_XI,105.745696,23.419137,S0060450030050,那桑收费站,guangxi,PROVINCE_STATION_COMMON,105.745696,23.419137,0
G0078450080100,广西平班,guangxi,105.528492,24.784824,G0078450080100,,,,,,G0078450080100,平班收费站,GUANG_XI,105.531859,24.781597,G0078450080100,平班收费站,guangxi,PROVINCE_STATION_COMMON,105.531859,24.781597,0
G04W2440020050,海布,guangdong,113.185258,23.42757,G04W2440020050,,,,,,G04W2440020050,海布收费站,GUANG_DONG,113.192661,23.427137,G04W2440020050,海布收费站,guangdong,MAIN_LINE_PLAZA,113.192661,23.427137,0
G0094440010100,北江西,guangdong,112.870558,23.379473,G0094440010100,,,,,,G0094440010100,北江西收费站,GUANG_DONG,112.875346,23.37668,G0094440010100,北江西收费站,guangdong,MAIN_LINE_PLAZA,112.875346,23.37668,0
G0094440010040,钟屋,guangdong,113.151913,23.478505,G0094440010040,,,,,,G0094440010040,钟屋收费站,GUANG_DONG,113.157385,23.476018,G0094440010040,钟屋收费站,guangdong,RAMP_PLAZA,113.157385,23.476018,0
S0081430010020,道州南,hunan,,,S0081430010020,2110033108,道州南收费站,hunan,111.54628,25.35924,S0081430010020,道州南收费站,HU_NAN,111.546281,25.359231,S0081430010020,道州南收费站,hunan,MAIN_LINE_PLAZA,111.546281,25.359231,0
G0401430030010,黄花塘,hunan,,,G0401430030010,2110032912,黄花塘收费站,hunan,112.85599,28.19734,G0401430030010,黄花塘收费站,HU_NAN,112.856006,28.197341,G0401430030010,黄花塘收费站,hunan,MAIN_LINE_PLAZA,112.856006,28.197341,0
S0011430040070,田庄,hunan,,,S0011430040070,2110058074,田庄收费站,hunan,113.70704,25.69146,S0011430040070,田庄收费站,HU_NAN,113.706918,25.69136,S0011430040070,田庄收费站,hunan,MAIN_LINE_PLAZA,113.706918,25.69136,0
S0091430010020,高沙,hunan,,,S0091430010020,2110058124,高沙收费站,hunan,110.68871,26.93837,S0091430010020,高沙收费站,HU_NAN,110.688708,26.938346,S0091430010020,高沙收费站,hunan,MAIN_LINE_PLAZA,110.688708,26.938346,0
S0091430010040,武冈西,hunan,,,S0091430010040,2110058130,武冈西收费站,hunan,110.60311,26.75152,S0091430010040,武冈西收费站,HU_NAN,110.60303,26.751345,S0091430010040,武冈西收费站,hunan,MAIN_LINE_PLAZA,110.60303,26.751345,0
G0085530030030,金所,yunnan,103.20816,25.551015,G0085530030030,2110015378,金所收费站,yunnan,103.20795,25.54794,G0085530030030,金所收费站,YUN_NAN,103.20799,25.547926,G0085530030030,金所收费站,yunnan,RAMP_PLAZA,103.20799,25.547926,0
G5615530040040,中和,yunnan,98.401165,25.037799,G5615530040040,2110015605,中和收费站,yunnan,104.09678,28.15667,G5615530040040,中和收费站,YUN_NAN,98.402175,25.032133,G5615530040040,中和收费站,yunnan,MAIN_LINE_PLAZA,98.402175,25.032133,0
S0241530010010,双龙,yunnan,101.5166,26.830204,S0241530010010,2110015628,双龙收费站,yunnan,102.8333,25.09773,S0241530010010,双龙收费站,YUN_NAN,102.833202,25.097818,S0241530010010,双龙收费站,yunnan,RAMP_PLAZA,102.833202,25.097818,0
G5615530030060,文山西,yunnan,104.158089,23.428386,G5615530030060,,,,,,G5615530030060,文山西收费站,YUN_NAN,104.164243,23.424483,G5615530030060,文山西收费站,yunnan,RAMP_PLAZA,104.164243,23.424483,0
G0002120030030,静王路,tianjin,,,G0002120030030,2110003694,静王路收费站,tianjin,116.96378,38.90379,G0002120030030,静王路收费站,TIAN_JIN,116.963806,38.903989,G0002120030030,静王路收费站,tianjin,RAMP_PLAZA,116.963806,38.903989,0
G0018120010020,津同路,tianjin,,,G0018120010020,2110003690,津同路收费站,tianjin,116.92316,39.17558,G0018120010020,津同路收费站,TIAN_JIN,116.923324,39.175604,G0018120010020,津同路收费站,tianjin,RAMP_PLAZA,116.923324,39.175604,0
S0008510010100,成温邛大邑,sichuan,,,S0008510010100,,,,,,S0008510010100,大邑收费站,SI_CHUAN,103.539403,30.562924,S0008510010100,大邑收费站,sichuan,RAMP_PLAZA,103.539403,30.562924,0
G7521520010050,开阳西,guizhou,,,G7521520010050,,,,,,G7521520010050,开阳西收费站,GUI_ZHOU,106.914492,27.093951,G7521520010050,开阳西收费站,guizhou,RAMP_PLAZA,106.914492,27.093951,0
S0045330010020,堂阁,zhejiang,,,S0045330010020,,,,,,S0045330010020,福田收费站,ZHE_JIANG,120.113122,29.386907,S0045330010020,福田收费站,zhejiang,RAMP_PLAZA,120.113122,29.386907,0
S0013450010030,城北,guangxi,111.240251,24.944434,S0013450010030,2110017365,城北收费站,guangxi,111.34583,23.54337,S0013450010030,城北收费站,GUANG_XI,111.245393,24.941595,S0013450010030,城北收费站,guangxi,RAMP_PLAZA,111.245393,24.941595,0
S0029440010040,清溪,guangdong,114.119148,22.840768,S0029440010040,,,,,,S0029440010040,清溪收费站,GUANG_DONG,114.119059,22.840605,S0029440010040,清溪收费站,guangdong,RAMP_PLAZA,114.119059,22.840605,0
S0014440050060,根子,guangdong,111.059783,21.825599,S0014440050060,,,,,,S0014440050060,根子收费站,GUANG_DONG,111.053041,21.81913,S0014440050060,根子收费站,guangdong,RAMP_PLAZA,111.053041,21.81913,0
S0013440010050,两英,guangdong,116.204344,23.120272,S0013440010050,,,,,,S0013440010050,两英收费站,GUANG_DONG,116.35031,23.198543,S0013440010050,两英收费站,guangdong,RAMP_PLAZA,116.35031,23.198543,0
S0020440010120,石山,guangdong,113.081102,22.696201,S0020440010120,,,,,,S0020440010120,石山收费站,GUANG_DONG,113.091658,22.694388,S0020440010120,石山收费站,guangdong,RAMP_PLAZA,113.091658,22.694388,0
G0093500010010,书房坝,chongqing,105.7186,30.25363,G0093500010010,2110000744,书房坝收费站,chongqing,105.69044,30.28515,G0093500010010,书房坝收费站,CHONG_QING,,,G0093500010010,书房坝收费站,chongqing,PROVINCE_STATION_COMMON,105.7186,30.25363,1
G050S500040010,麻柳嘴,chongqing,106.982733,29.749663,G050S500040010,2110055016,麻柳嘴收费站,chongqing,106.97595,29.74416,G050S500040010,麻柳嘴收费站,CHONG_QING,106.976114,29.744135,G050S500040010,麻柳嘴收费站,chongqing,RAMP_PLAZA,106.976114,29.744135,0
S0002520020020,乐理,guizhou,,,S0002520020020,2110068474,乐理收费站,guizhou,106.75189,27.611,S0002520020020,乐理收费站,GUI_ZHOU,106.751901,27.610963,S0002520020020,乐理收费站,guizhou,RAMP_PLAZA,106.751901,27.610963,0
G0069520040020,毛云,guizhou,,,G0069520040020,,,,,,G0069520040020,毛云收费站,GUI_ZHOU,107.170075,26.981083,G0069520040020,毛云收费站,guizhou,RAMP_PLAZA,107.170075,26.981083,0
S0030520030050,六桶,guizhou,,,S0030520030050,,,,,,S0030520030050,六桶收费站,GUI_ZHOU,106.446521,27.09055,S0030520030050,六桶收费站,guizhou,RAMP_PLAZA,106.446521,27.09055,0
S0062520010030,施秉,guizhou,,,S0062520010030,2110067273,施秉收费站,guizhou,108.13112,27.01334,S0062520010030,施秉收费站,GUI_ZHOU,108.131307,27.013135,S0062520010030,施秉收费站,guizhou,RAMP_PLAZA,108.131307,27.013135,0
G7612520010030,潘家庄,guizhou,,,G7612520010030,2110044087,潘家庄收费站,guizhou,105.13611,25.55981,G7612520010030,潘家庄收费站,GUI_ZHOU,105.136127,25.559866,G7612520010030,潘家庄收费站,guizhou,RAMP_PLAZA,105.136127,25.559866,0
G0056520040030,九洞天,guizhou,,,G0056520040030,2110135675,九洞天收费站,guizhou,105.26441,26.92246,G0056520040030,九洞天收费站,GUI_ZHOU,105.264321,26.922303,G0056520040030,九洞天收费站,guizhou,RAMP_PLAZA,105.264321,26.922303,0
G0060520060010,镇宁,guizhou,,,G0060520060010,2110014180,镇宁收费站,guizhou,105.75642,26.0659,G0060520060010,镇宁收费站,GUI_ZHOU,105.756273,26.065816,G0060520060010,镇宁收费站,guizhou,RAMP_PLAZA,105.756273,26.065816,0
G0015440030070,仙庵,guangdong,116.504012,23.072873,G0015440030070,2110038515,仙庵收费站,guangdong,116.50845,23.07021,G0015440030070,仙庵收费站,GUANG_DONG,116.508452,23.07031,G0015440030070,仙庵收费站,guangdong,RAMP_PLAZA,116.508452,23.07031,0
G004W440020030,化龙,guangdong,113.443088,23.003635,G004W440020030,,,,,,G004W440020030,化龙收费站,GUANG_DONG,113.441315,23.036926,G004W440020030,化龙收费站,guangdong,MAIN_LINE_PLAZA,113.441315,23.036926,0
G0065440010080,高州,guangdong,110.924012,21.911297,G0065440010080,,,,,,G0065440010080,高州收费站,GUANG_DONG,110.928629,21.908328,G0065440010080,高州收费站,guangdong,RAMP_PLAZA,110.928629,21.908328,0
G04W3440011070,连江口,guangdong,113.298083,24.070001,G04W3440011070,2110061150,连江口收费站,guangdong,113.30356,24.06741,G04W3440011070,连江口收费站,GUANG_DONG,113.303708,24.067374,G04W3440011070,连江口收费站,guangdong,RAMP_PLAZA,113.303708,24.067374,0
